Прізвище,Ім’я,По батькові,Стать,Дата народження,Посада,Місто проживання,Адреса проживання,Телефон,Email
Гавриш,Анжела,Іванівна,Жінка,1968-05-14,Головний меркшейдер,хутір Старобільськ,"парк 16-та Лінія 6-й ст. Люстдорфської дороги, буд. 903 кв. 796, Кривий Ріг, 93850",+380 (90) 907-43-49,milena15@example.com
Килимник,Маруся,Миколаївна,Жінка,1939-03-18,Нотаріус,хутір Краматорськ,"сквер Спортивна, буд. 660, Ічня, 85721",+380 42 053-40-77,dmytrobashtan@example.org
Воблий,Лукʼян,Миколайович,Чоловік,1953-06-25,Доцент,селище Хуст,"площа Маловського, буд. 051 кв. 13, Чигирин, 98784",081 642 93 32,qshynkarenko@example.net
Редько,Світлана,Андріївна,Жінка,2001-01-18,Стоматолог,хутір Шумськ,"проспект Лютневий 1-й, буд. 04, Гірське, 34289",678-13-94,jiesypenko@example.org
Шелест,Орхип,Михайлович,Чоловік,1980-04-18,Журналіст,місто Сімферополь,"проспект Армійська, буд. 35 кв. 509, Вараш, 34435",246-44-73,avhustyn24@example.org
Щербань,Соломія,Володимирівна,Жінка,1993-01-15,Державний службовець,місто Кагарлик,"проспект Моторний 3-й, буд. 4, Старий Самбір, 44147",+380 (70) 561-77-29,bohuslav72@example.org
Конопленко,Азар,Андрійович,Чоловік,1953-11-14,Хімік,місто Новомиргород,"сквер Бузковий 1-й, буд. 5 кв. 502, Кальміуське, 79821",256-88-76,marianafomenko@example.net
Яременко,Олена,Богданівна,Жінка,1965-08-04,Ріелтор,селище Перещепине,"площа Красних Зорь, буд. 8 кв. 36, Васильків, 58849",+380 (67) 275-74-88,nestorshcherban@example.com
Ващук,Пріска,Іванівна,Жінка,1939-10-11,Художник,хутір Устилуг,"проспект Старицького, буд. 714 кв. 305, Остер , 48129",035 157-85-59,vysochanoles@example.net
Забашта,Богуслава,Миколаївна,Жінка,1966-04-06,Програміст,село Бровари,"узвіз Рівності 1-й, буд. 064 кв. 3, Олександрія, 74082",+380 00 251-54-62,mykytavasylevych@example.net
Колісниченко,Леон,Михайлович,Чоловік,2008-04-23,Піаніст,село Сокаль,"площа Шишкіна 1-й, буд. 342, Іршава, 58077",055 483 35 14,olehbezditko@example.com
Теліженко,Ярема,Олександрович,Чоловік,1972-04-10,Фотограф,місто Решетилівка,"проспект Церковна, буд. 63 кв. 09, Ланівці, 65770",558 02 27,rubanrozaliia@example.net
Рудько,Макар,Петрович,Чоловік,1955-04-07,Кінокритик,місто Скадовськ,"площа Лінійна, буд. 27 кв. 384, Бахмут, 58269",718 77 09,hennadiishcherbak@example.net
Єфименко,Ярина,Іванівна,Жінка,1997-05-02,Кур'єр,селище Новомосковськ,"площа Ванний, буд. 36 кв. 761, Мар'їнка, 66454",+380 37 188-47-17,tytarenkoiefrem@example.org
Чміль,Мілена,Миколаївна,Жінка,1949-12-08,Прокурор,місто Новодністровськ,"сквер Валіховський, буд. 5 кв. 34, Березне, 28735",+380 68 564 90 80,svyrydenkofedir@example.com
Жаліло,Богодар,Михайлович,Чоловік,1949-12-31,Модельєр,місто Вовчанськ,"шосе Гена Іоганна, буд. 0, Малин, 08988",047 802-69-83,yizhak@example.net
Гаврилюк,Павло,Богданович,Чоловік,1944-11-22,Епідеміолог,селище Кременець,"узвіз Газова, буд. 73 кв. 7, Перемишляни, 96788",+380 10 227 56 00,avrelii62@example.org
Фоменко,Вікторія,Сергіївна,Жінка,1961-10-28,Державний службовець,селище Бахчисарай,"узвіз Балтський 3-й, буд. 59, Тернівка , 84119",087 266-66-49,iaremaartem@example.com
Малик,Франц,Сергійович,Чоловік,1988-07-29,Євнух,місто Петрово-Красносілля,"сквер Аркаса Миколи, буд. 1 кв. 49, Нова Каховка, 16592",+380 32 185 85 61,klavdiia37@example.net
Корпанюк,Ліза,Михайлівна,Жінка,1984-11-09,Кіноактор,селище Обухів,"парк Тролейбусна, буд. 5, Джанкой, 87914",014 206 15 11,artem28@example.org
Бевз,Аркадій,Олександрович,Чоловік,1950-07-01,Ботанік,місто Броди,"провулок Кипарисний 2-й, буд. 8 кв. 797, Виноградів, 33548",+380 (08) 101-62-72,mariana47@example.net
Ващенко,Охрім,Володимирович,Чоловік,1966-02-22,Антрополог,селище Зіньків,"проспект ім. С.Ю. Вітте, буд. 69 кв. 85, Житомир, 91261",093 005 76 80,prokhir07@example.net
Фаренюк,Семен,Олександрович,Чоловік,1946-08-17,Клоун,місто Монастириська,"шосе Чапаєва 2-й, буд. 6, Моршин, 78717",+380 97 015-06-13,viktor74@example.net
Ребрик,Ярослав,Миколайович,Чоловік,1976-08-26,Кінолог,селище Часів Яр,"вулиця Балтський 7-й, буд. 91 кв. 79, Луганськ, 33345",044 083-56-90,arkadiizatovkaniuk@example.com
Андрійчук,Макар,Юрійович,Чоловік,1943-01-26,Актор,селище Молочанськ,"парк 8-ма Лінія Дачі Ковалевського, буд. 09, Довжанськ, 10274",+380 36 477 81 34,alinatverdokhlib@example.org
Павличенко,Наталія,Юріївна,Жінка,1955-10-12,Біолог,селище Гуляйполе,"проспект Ботанічний, буд. 5 кв. 324, Чортків, 91533",+380 (51) 096-02-19,labavolodymyr@example.net
Александренко,Альберт,Петрович,Чоловік,1966-01-19,Електромонтажник,хутір Гола Пристань,"шосе Перепечка, буд. 41, Чорноморськ, 19944",+380 40 565-79-62,vnesterenko@example.com
Чайка,Галина,Сергіївна,Жінка,1993-12-06,Головний меркшейдер,село Лебедин,"сквер Академіка Воробйова, буд. 84, Чистякове, 60911",004 702 31 48,uhres@example.com
Чорновіл,Кирило,Володимирович,Чоловік,1994-08-02,Реставратор,місто Дружківка,"сквер Новиков міст, буд. 393 кв. 169, Ходорів, 19757",023 026 51 83,pzakharchenko@example.net
Шаповал,Амвросій,Андрійович,Чоловік,1947-10-25,Няня,селище Новгород-Сіверський,"площа Яблунева, буд. 911, Миргород, 46220",035 638-45-11,varfolomii08@example.com
Дейнеко,Тимофій,Михайлович,Чоловік,1957-11-15,Письменник,хутір Герца,"узвіз Пересипська 7-ма, буд. 996 кв. 7, Славута, 33335",+380 (02) 426-50-84,mshovkoplias@example.net
Комар,Марко,Юрійович,Чоловік,1960-08-25,Намотувальник,хутір Герца,"узвіз Глазунова 2-й, буд. 65, Армянськ, 09133",+380 19 004-61-99,derhachliudmyla@example.net
Бакуменко,Орися,Іванівна,Жінка,1976-12-17,Правник,хутір Шепетівка,"площа Рощева, буд. 80 кв. 4, Зугрес, 76580",567 54 23,jlesyk@example.com
Саченко,Ігнат,Богданович,Чоловік,1984-09-23,Скульптор,місто Валки ,"шосе Дельфін, буд. 33, Арциз, 09885",080 764-59-36,idankevych@example.org
Корж,Іван,Петрович,Чоловік,1996-10-30,Каскадер,селище Антрацит ,"площа Чорноморський 4-й, буд. 391, Іршава, 52047",+380 (26) 379-76-95,lazarenkokhoma@example.com
Александренко,Вікторія,Богданівна,Жінка,1954-02-20,Хімік,місто Бахмут,"площа Східчастий 3-й, буд. 52 кв. 6, Гадяч, 97786",010 337-21-95,lukianbaranets@example.com
Сімашкевич,Андрій,Олександрович,Чоловік,1998-02-14,Сантехнік,місто Карлівка,"площа Степна, буд. 6 кв. 925, Перевальськ, 90169",+380 (04) 159-66-94,xpiatachenko@example.com
Романець,Ярослава,Петрівна,Жінка,1991-01-10,Різноробочий,селище П'ятихатки,"сквер Тополина, буд. 75, Харків, 45086",064 834-59-46,dmytro76@example.com
Шутько,Охрім,Петрович,Чоловік,1975-10-12,Публіцист,селище Радивилів,"площа Лазурний 1-й, буд. 3 кв. 4, Хмільник, 59685",097 037-33-23,terezavasylevych@example.com
Атрощенко,Людмила,Петрівна,Жінка,1942-02-01,Штукатур,село Синельникове,"площа Басейна, буд. 839 кв. 974, Сорокине, 62615",+380 26 973-06-85,zinchukkhrystyna@example.com
Рябченко,Варвара,Іванівна,Жінка,1964-01-26,Каскадер,селище Краматорськ,"сквер Докова, буд. 31 кв. 36, Зеленодольськ, 43804",+380 44 862 91 56,kyrylenkofedir@example.net
Лупій,Олег,Андрійович,Чоловік,1990-11-20,Палеонтолог,село Харків,"парк Матеріальний 1-й, буд. 318 кв. 366, Новий Розділ, 11749",+380 65 818-33-59,liudmyla51@example.org
Іщенко,Сніжана,Юріївна,Жінка,1960-11-18,Фотограф,селище Рені,"парк Училищна, буд. 219 кв. 5, Заліщики, 34827",045 063 53 46,thaida@example.com
Піддубна,Ліза,Богданівна,Жінка,1997-08-01,Кур'єр,хутір Пирятин,"проспект Колекційна, буд. 0, Селидове, 34019",455 79 68,mykolai11@example.net
Масоха,Надія,Михайлівна,Жінка,2005-02-22,Швачка,село Хмельницький,"сквер Деревообробний 3-й, буд. 012, Городенка, 25660",+380 75 924 14 56,aaron02@example.com
Яремків,Еріка,Петрівна,Жінка,1944-10-21,Медик,місто Гола Пристань,"площа Молокова, буд. 5, Рава-Руська, 18753",006 716 51 44,vasylevychpanas@example.com
Карась,Юстина,Михайлівна,Жінка,1995-06-24,Круп'є,село Тячів,"провулок Компасний, буд. 57 кв. 9, Борзна, 06567",+380 11 280-10-41,iashchenkozorian@example.com
Забашта,Кирило,Володимирович,Чоловік,1957-08-24,Кур'єр,селище Токмак,"парк Світлий, буд. 6 кв. 60, Южне, 22548",095 989 11 69,onysym57@example.com
Демʼянчук,Михайло,Іванович,Чоловік,1961-05-30,Кіноактор,селище Кременчук,"площа Лузанівський 1-й, буд. 97, Кам'янка-Бузька, 20631",011 862 92 82,milena20@example.net
Рубан,Сергій,Володимирович,Чоловік,1981-06-27,Реабілітолог,село Яготин,"набережна Митна, буд. 688, Ржищів, 02019",130-96-81,borys85@example.com
Воблий,Вʼячеслав,Андрійович,Чоловік,2006-02-01,Психолог,хутір Баранівка,"проспект Гагарінське плато, буд. 22 кв. 28, Узин, 68244",+380 (10) 253-08-63,leonvermenych@example.com
Гуцуляк,Феофан,Михайлович,Чоловік,1988-09-08,М'ясник,хутір Українськ,"сквер Архітекторська, буд. 69, Гірське, 79119",+380 (74) 259-59-73,lbabarychenko@example.org
Андрейко,Лукʼян,Михайлович,Чоловік,2001-09-07,Ветеринар,село Березівка,"проспект Обільна, буд. 33, Долина , 38776",946 54 95,dsalii@example.org
Токар,Марʼяна,Володимирівна,Жінка,2000-12-02,Машиніст,селище Ковель,"сквер Новикова, буд. 312 кв. 1, Попасна, 61091",322-42-08,oleksa07@example.org
Верховинець,Віталій,Сергійович,Чоловік,1981-11-26,Актор,селище Довжанськ,"вулиця Михайлівська, буд. 83 кв. 336, Слов'янськ, 07222",485 51 41,hsmyk@example.com
Іванченко,Тарас,Андрійович,Чоловік,2005-09-28,Астрофізик,місто Борислав,"набережна Базарна, буд. 929, Харків, 15352",+380 57 682-68-37,abrahamovskyiazar@example.org
Талан,Йосип,Володимирович,Чоловік,1973-11-26,Будник,село Почаїв,"вулиця Комітетська, буд. 7 кв. 9, Переяслав, 87021",+380 59 218-93-76,covsiienko@example.org
Данчук,Леонтій,Юрійович,Чоловік,1957-02-03,Перекладач,село Кам'янське,"сквер Наявний 4-й, буд. 2 кв. 67, Долина , 30962",+380 (95) 539-65-07,banduraarkadii@example.org
Сиротенко,Демʼян,Богданович,Чоловік,1941-03-16,Золотар,селище Зимогір'я,"проспект Манежний, буд. 35 кв. 0, Березань , 02493",+380 73 360-74-51,hvitruk@example.net
Аверченко,Варвара,Юріївна,Жінка,1996-11-09,Кіноактор,місто Тлумач,"провулок Прохоровська, буд. 244 кв. 2, Хмільник, 37175",432 13 57,amaliia25@example.net
Михалюк,Богдан,Михайлович,Чоловік,1965-05-28,Бібліотекар,місто Подільськ,"вулиця Бессарабська, буд. 75, Люботин, 40203",077 103 59 89,ievhen41@example.net
Адаменко,Тетяна,Богданівна,Жінка,1954-02-10,Кінорежисер,хутір Інкерман,"набережна Волоколамська, буд. 3, Харків, 63752",+380 44 495-20-65,shabliiostap@example.org
Ващенко-Захарченко,Дарина,Богданівна,Жінка,2006-11-15,Круп'є,село Бучач,"парк Тимірязєва, буд. 59 кв. 3, Запоріжжя, 71452",008 398-41-67,shcherbakalbina@example.net
Авдєєнко,Леопольд,Михайлович,Чоловік,1970-01-09,Реабілітолог,хутір Бориспіль,"набережна Тепличний 2-й, буд. 82 кв. 20, Помічна, 79954",+380 31 100-92-92,daryna26@example.net
Лагода,Йосип,Миколайович,Чоловік,2006-03-29,Ді-джей,селище Середина-Буда,"набережна Лазурний 2-й, буд. 3 кв. 5, Пологи , 47357",+380 30 775-96-59,boleslav64@example.org
Кабалюк,Зорян,Петрович,Чоловік,2000-08-06,Зоолог,селище Іловайськ,"площа Георгія Гамова, буд. 38 кв. 15, Бердянськ, 90456",759 37 76,rmedvedenko@example.com
Якимчук,Єфрем,Михайлович,Чоловік,1952-09-22,Краєзнавець,хутір Городня,"набережна Перша, буд. 964 кв. 89, Арциз, 77693",839 47 15,tryhubsymon@example.com
Єсипенко,Михайло,Олександрович,Чоловік,1991-03-18,Кушнір,селище Тетіїв,"набережна Новікова 2-га, буд. 5, Армянськ, 50503",008 585 72 89,kovalenkoorest@example.org
Щербак,Антон,Юрійович,Чоловік,1971-09-11,Мірошник,хутір Ірміно,"площа Новий, буд. 835, Сторожинець, 60158",089 661-74-35,nokhrimenko@example.com
Рябець,Пантелеймон,Богданович,Чоловік,1983-05-14,Зоолог,село Харків,"парк Калнишевського Петра, буд. 5, Новояворівськ, 40941",+380 40 680-01-35,parmen74@example.net
Теліженко,Ярема,Богданович,Чоловік,1946-12-07,Композитор,селище Кам'янське,"проспект Житкова, буд. 476, Чигирин, 40961",+380 07 518-13-65,liubovavramenko@example.com
Влох,Миколай,Юрійович,Чоловік,2008-01-05,Няня,хутір Бердянськ,"набережна Херсонський, буд. 20 кв. 98, Шаргород, 59410",084 653 51 38,opanas03@example.com
Фесенко,Віолетта,Володимирівна,Жінка,1953-03-08,Кінорежисер,село Охтирка,"набережна Круговий, буд. 3, Токмак, 02630",+380 26 865-51-53,viktor61@example.org
Ісаєвич,Климент,Богданович,Чоловік,2005-09-10,Фермер,місто Гайворон,"шосе Закарпатська, буд. 428 кв. 9, Вовчанськ, 01696",343 52 75,iukhym71@example.com
Короленко,Алла,Сергіївна,Жінка,2004-04-28,Диригент,село Нікополь,"вулиця Балківська, буд. 80 кв. 108, Балаклія, 65068",+380 19 265 63 03,batiukanita@example.com
Чуйко,Василь,Богданович,Чоловік,1975-03-31,Диригент,хутір Рогатин,"проспект Василя Стуса, буд. 996 кв. 93, Збараж, 65809",526 61 75,oleksandrkhomenko@example.com
Калениченко,Одарка,Петрівна,Жінка,1997-12-18,Клоун,село Іллінці,"вулиця Мацієвської узвіз, буд. 45, Галич, 89059",433 95 69,klavdiiababenko@example.org
Кабаненко,Богуслава,Миколаївна,Жінка,1985-09-17,Ботанік,місто Вуглегірськ,"площа Баштанна, буд. 8 кв. 0, Ірпінь, 39620",406 85 50,alevtyn05@example.com
Данькевич,Орест,Богданович,Чоловік,1966-10-01,Модель,хутір Глобине,"парк Мариністів, буд. 0 кв. 9, Чоп, 83646",391-42-37,oprokopovych@example.com
Шахрай,Лукʼян,Андрійович,Чоловік,1942-03-10,Клавішник,хутір Підгородне,"узвіз Проїзний 2-й, буд. 17, Іршава, 22583",+380 (92) 400-50-59,orobetsarkadii@example.net
Туркало,Петро,Богданович,Чоловік,1981-02-19,Бібліограф,хутір Южноукраїнськ,"парк Каховський, буд. 4, Васильків, 95293",041-17-17,iustyna88@example.org
Андрощук,Леонтій,Сергійович,Чоловік,1953-05-13,Стропальник,місто Тиврів,"набережна Олександра Блока, буд. 5, Свалява, 94748",666 76 68,mdevdiuk@example.com
Давиденко,Віра,Богданівна,Жінка,2000-04-20,Провізор,село Косів,"сквер Мелітопольська, буд. 56 кв. 55, Радивилів, 96416",604 44 61,boryshupalo@example.net
Шморгун,Дарина,Олександрівна,Жінка,1976-02-16,Слідчий,село Чортків,"набережна Люстдорфська дорога, буд. 29 кв. 01, Броди, 63788",+380 16 259-58-47,fmykytiuk@example.org
Тягнибок,Данна,Володимирівна,Жінка,2003-11-26,Нотаріус,селище Івано-Франківськ,"провулок Івана Франка, буд. 57, Хотин, 77805",+380 85 641-29-96,feofan08@example.net
Швачка,Алла,Михайлівна,Жінка,1986-04-05,Різноробочий,місто Оріхів,"сквер Горіхова, буд. 183 кв. 96, Здолбунів, 32569",053-76-77,ishvedchenko@example.org
Хоменко,Олекса,Петрович,Чоловік,1940-02-02,Правник,хутір Горішні Плавні,"шосе Учнівська, буд. 566 кв. 847, Сіверськ, 98838",083-86-72,ostaphutsuliak@example.org
Іщенко,Сергій,Володимирович,Чоловік,1950-12-06,Каскадер,селище Дніпрорудне,"проспект Сєченова, буд. 09, Збараж, 02858",+380 58 354-74-05,edyta63@example.net
Башполченко,Василина,Богданівна,Жінка,1962-01-27,М'ясник,хутір Малин,"провулок Житомирський 3-й, буд. 37 кв. 149, Великі Мости, 99519",+380 40 863-76-91,edyta27@example.net
Мазепа,Соломія,Петрівна,Жінка,1951-10-04,Мовознавець,хутір Шумськ,"набережна Аеропортівський 4-й, буд. 5, Ізмаїл, 95861",+380 45 374 21 56,marusiaadamchuk@example.net
Аврамчук,Теодор,Миколайович,Чоловік,1965-01-22,Шериф,хутір Костянтинівка,"шосе Балтський 8-й, буд. 852, Лубни, 58940",065 533-38-32,tovstukhaedyta@example.org
Бакуменко,Федір,Петрович,Чоловік,1980-12-07,Гінеколог,селище Кальміуське,"узвіз Василя Кандинського 4-й, буд. 653 кв. 922, Мена , 09530",054 775-25-12,lzabara@example.net
Валенко,Леопольд,Володимирович,Чоловік,1960-04-23,Каскадер,хутір Гуляйполе,"набережна Байкал тупик, буд. 427, Калинівка , 32621",239 44 62,oleksandr03@example.org
Дейнека,Анастасія,Сергіївна,Жінка,1955-12-31,Ґрунтознавець,хутір Ромни,"сквер Монастирський, буд. 033 кв. 77, Вознесенівка, 04028",046 976-90-62,yarkhymovych@example.net
Артюх,Семен,Богданович,Чоловік,1982-07-25,Бухгалтер,селище Овруч,"шосе Собінова, буд. 82, Василівка , 03866",+380 89 544-02-53,adamvatamaniuk@example.com
Гузій,Дарина,Михайлівна,Жінка,1985-06-19,Маркетолог,місто Володимир-Волинський,"провулок Нерубайська, буд. 04, Євпаторія, 36306",067 483 73 76,mariia17@example.org
Цимбалюк,Йосип,Петрович,Чоловік,1949-08-15,Електромонтажник,селище Перемишляни,"парк Черняховського, буд. 073 кв. 1, Родинське, 34939",+380 00 356-08-39,bevzvolodymyr@example.com
Павленко,Борис,Богданович,Чоловік,1997-03-22,Медик,селище Кобеляки,"проспект Відважних, буд. 2, Рахів, 36906",000 295-56-96,tkacholeh@example.net
Павленко,Лариса,Сергіївна,Жінка,1946-01-23,Диригент,село Лохвиця,"провулок Вапняне селище, буд. 4 кв. 00, Новий Калинів, 64053",290-48-66,myroslavhabelko@example.com
Бабʼяк,Аврелій,Юрійович,Чоловік,1948-01-09,Хімік,місто Миронівка,"парк Корнюшина, буд. 95, Зоринськ, 83519",+380 88 677-17-51,leopold45@example.com
Єресько,Еріка,Богданівна,Жінка,1945-05-20,Реабілітолог,місто Ізяслав,"шосе Миколи Боровського, буд. 717 кв. 0, Південне , 35717",088 779-00-31,kadeniukokhrim@example.org
Затула,Єлисавета,Петрівна,Жінка,1999-09-21,Підприємець,селище Чорноморськ,"вулиця Дунаєвського 3-й, буд. 322, Горішні Плавні, 76435",+380 (77) 668-14-51,ievhen44@example.net
Демʼяненко,Ілля,Андрійович,Чоловік,1977-04-27,Будник,селище Шаргород,"вулиця Садова 2-га, буд. 34 кв. 915, Ладижин, 60547",+380 (26) 500-77-25,cnosenko@example.com
Бабариченко,Ганна,Петрівна,Жінка,1993-04-04,Електрослюсар,хутір Скалат,"узвіз Лізи Чайкіної, буд. 68, Мукачево, 65579",+380 83 059-20-57,liubovivanchenko@example.net
Журба,Єва,Юріївна,Жінка,1964-08-11,Петрограф,місто Сімферополь,"парк Олексіївська, буд. 54 кв. 7, Євпаторія, 40163",+380 15 438-28-93,vrudyk@example.com
Жайворон,Марʼяна,Юріївна,Жінка,1981-08-25,Ріелтор,хутір Лебедин,"узвіз Стєклова, буд. 0 кв. 7, Хоростків, 36110",004 945 19 38,qromanets@example.net
Авраменко,Ярослав,Михайлович,Чоловік,1962-06-29,Кінолог,місто Ужгород,"провулок Косвена, буд. 574, Кам'янець-Подільський, 20788",+380 15 839-27-39,rovsiienko@example.com
Лубенець,Захар,Олександрович,Чоловік,2002-07-05,Фольклорист,хутір Городня,"сквер Китобійний 2-й, буд. 72, Дубно, 28309",032 972-09-61,varvarazubko@example.com
Пилипенко,Христина,Миколаївна,Жінка,1968-12-08,Паблік рилейшнз,хутір Горлівка,"парк Друга, буд. 460, Торецьк, 92878",206 57 15,ielyseibairak@example.net
Прокопович,Костянтин,Юрійович,Чоловік,2007-10-02,Кушнір,місто Бахчисарай,"площа Балтська дорога, буд. 984 кв. 6, Жовті Води, 73264",+380 (02) 536-42-35,alla57@example.com
Абраменко,Венедикт,Михайлович,Чоловік,1978-09-16,Ювелір,селище Вараш,"площа Вишневий, буд. 5, Вінниця, 60336",031 886 78 70,izhakliliia@example.com
Ляшко,Герман,Іванович,Чоловік,1979-01-25,Графік,місто Кременчук,"парк Тінистий, буд. 27 кв. 4, Золоте, 47030",+380 (73) 768-74-47,fieromenko@example.org
Влох,Алевтин,Михайлович,Чоловік,1976-06-05,Мовознавець,селище Городище ,"парк Зелений, буд. 488, Амвросіївка, 90259",511 61 36,jbandurka@example.net
Ніколюк,Мілена,Олександрівна,Жінка,1986-03-21,Електромонтер,село Калуш,"площа Литовська, буд. 85 кв. 405, Мирноград, 68682",004 065-57-54,iashchenkoodarka@example.com
Забарний,Костянтин,Володимирович,Чоловік,1942-06-22,Прокурор,селище Дубно,"площа Вєтрова, буд. 1 кв. 96, Помічна, 27441",+380 25 298-27-16,sychirena@example.com
Голобородько,Іван,Юрійович,Чоловік,1966-06-17,Електромонтажник,село Деражня,"парк Тупиковий 1-й, буд. 99, Ірпінь, 93233",+380 (51) 946-92-63,ohuzii@example.net
Бгиденко,Марина,Олександрівна,Жінка,1985-07-28,Євнух,хутір Болехів,"провулок Юхима Геллера, буд. 530 кв. 500, Ірпінь, 06770",010 498-04-42,baranykfeofan@example.net
Гайдабура,Гордій,Богданович,Чоловік,1958-06-17,Геофізик,місто Борзна,"парк Тимірязєва, буд. 873, Мирноград, 67324",+380 (89) 686-39-05,gieromenko@example.net
Жайворон,Дан,Юрійович,Чоловік,1960-07-14,Маркетолог,село Чугуїв,"площа Яружний, буд. 20 кв. 69, Новомосковськ, 86579",+380 81 860-24-07,viktorsheremet@example.org
Деркач,Вʼячеслав,Володимирович,Чоловік,1989-07-23,Мірошник,хутір Іршава,"набережна Гілельса, буд. 8 кв. 451, Корець, 68536",102 19 89,okhrimmykhailiuk@example.org
Лубенець,Ігор,Андрійович,Чоловік,2001-10-26,Фольклорист,село Помічна,"узвіз Чапаєва, буд. 954 кв. 634, Іршава, 17377",047 807 81 30,telychenkomariana@example.com
Ільєнко,Олена,Сергіївна,Жінка,1960-06-10,Хімік,село Яремче,"площа Контрадмірала Луніна, буд. 98, Українка , 30239",022 378-10-95,larysa16@example.org
Щириця,Леон,Сергійович,Чоловік,1986-02-26,Стоматолог,хутір Нововолинськ,"проспект Аеропортівський 5-й, буд. 327, Болехів, 14434",+380 (91) 931-78-32,sachenkovadym@example.org
Лукаш,Амалія,Олександрівна,Жінка,1992-07-22,Дерун,селище Бобринець,"сквер Грецька, буд. 55, Кальміуське, 02180",+380 (39) 227-32-91,lkorbut@example.net
Яремко,Володимира,Юріївна,Жінка,2003-06-12,Геофізик,місто Брянка,"набережна Друга, буд. 13, Вільнянськ, 78020",088 846 59 64,trokhymbandera@example.net
Андрієвич,Тимофій,Іванович,Чоловік,1940-11-23,Конструктор,місто Мукачево,"узвіз Палія Семена, буд. 609, Скалат, 88888",846 27 24,priska41@example.com
Вовк,Василина,Миколаївна,Жінка,1941-02-09,Електромонтажник,село Шумськ,"провулок Аптекарський, буд. 092 кв. 369, Ладижин, 70757",+380 54 804-93-63,irena11@example.org
Яценко,Кирило,Петрович,Чоловік,1998-02-17,Паблік рилейшнз,селище Малин,"площа Фабрична, буд. 910, Верхівцеве, 45355",011 104 31 97,petrykherman@example.org
Кащенко,Трохим,Андрійович,Чоловік,1990-03-25,Дерун,село Одеса,"вулиця Водопровідна, буд. 154 кв. 110, Коростень, 47341",+380 (18) 355-04-17,anzhela13@example.org
Архимович,Камілла,Андріївна,Жінка,1977-03-28,Доцент,хутір Остер ,"парк Довженка, буд. 918, Коломия, 30216",005 357 59 30,ielysei48@example.org
Вітрук,Ярина,Богданівна,Жінка,1970-01-09,Льотчик,село Сміла,"парк Лінія 23-тя, буд. 141, Прилуки, 48246",541 00 14,ilchenkoliza@example.net
Гайворонський,Вʼячеслав,Михайлович,Чоловік,1993-11-22,Стоматолог,селище Ізюм,"проспект Грузинська, буд. 12, Нова Одеса, 16561",069 665 79 57,maksymshcherban@example.org
Шиян,Мілена,Сергіївна,Жінка,1999-07-28,Професор,село Сорокине,"набережна Молодіжна, буд. 42 кв. 62, Володимир-Волинський, 93600",+380 86 847-75-75,iukhymishchak@example.org
Штокало,Мирон,Юрійович,Чоловік,1957-07-24,Підприємець,селище Часів Яр,"узвіз Сонячна, буд. 4 кв. 77, Костянтинівка, 40994",+380 57 621-13-15,vzakharchenko@example.com
Чумак,Варфоломій,Іванович,Чоловік,1989-12-05,Архітектор,село Енергодар,"узвіз Картамишевський, буд. 6 кв. 4, Дебальцеве, 41520",+380 (80) 584-32-90,batamanchuk@example.com
Гаврилишина,Оксана,Іванівна,Жінка,1940-06-28,Промисловець,село Алчевськ,"провулок 4-та Лінія 6-й ст. Люстдорфської дороги, буд. 5, Перемишляни, 70205",076 42 16,umanetspylyp@example.org
Гуцуляк,Ада,Михайлівна,Жінка,2008-08-29,Режисер,хутір Звенигородка,"набережна Саксаганського, буд. 377 кв. 7, Новий Калинів, 77132",+380 01 716-63-33,wturkalo@example.com
Ірванець,Марта,Іванівна,Жінка,1990-04-04,Патологоанатом,місто Мостиська,"площа Соляний 4-й, буд. 196 кв. 87, Монастириська, 46724",196-20-39,ievtushenkonazar@example.net
Бараник,Володимира,Петрівна,Жінка,1977-01-19,Маркетолог,село Ніжин,"сквер Кутова, буд. 31 кв. 51, Березань , 21749",+380 (46) 292-44-18,psimashkevych@example.net
Данильчук,Ярослава,Петрівна,Жінка,1944-12-18,Фольклорист,хутір Старий Крим,"узвіз Косовська, буд. 48 кв. 63, Канів, 88782",+380 (82) 125-87-43,anzhela71@example.com
Колесниченко,Спас,Андрійович,Чоловік,1943-04-29,Вчитель,село Любомль,"площа Прибережний, буд. 7 кв. 96, Зоринськ, 01537",+380 75 952 02 23,vasylynashvachka@example.net
Асаула,Валерій,Андрійович,Чоловік,1978-08-31,Доцент,місто Монастириська,"парк Ризька, буд. 2, Шепетівка, 63426",917-57-03,qnalyvaiko@example.com
Овсієнко,Левко,Юрійович,Чоловік,1982-10-17,Живописець,місто Вільногірськ,"сквер Варненська, буд. 47 кв. 417, Новоград-Волинський, 80326",067 926 61 61,varfolomiivasylechko@example.net
Рудик,Галина,Богданівна,Жінка,1985-06-06,Зоолог,хутір Сарни,"сквер Авіаторів, буд. 4, Чернівці, 23131",+380 10 153 99 90,babenkooles@example.org
Девдюк,Василь,Іванович,Чоловік,2008-05-30,Швачка,хутір Сокиряни,"узвіз Текстильників, буд. 14 кв. 930, Зугрес, 35078",441-82-28,khudobiakomelian@example.com
Сиротенко,Розалія,Михайлівна,Жінка,2008-02-22,Дантист,селище Дубровиця,"площа Нікітіна, буд. 9, Мукачево, 11993",671 94 01,kshynkarenko@example.org
